sessionId,questionId,rawValue,scoredValue,position
56727cb9-0033-4f8f-ab82-c9fb024186e2,75b3d0dc-1943-46b3-8914-f4f5fd40bda4,5,1,21
56727cb9-0033-4f8f-ab82-c9fb024186e2,5a3c5d44-c3af-4ddf-b50a-e9b5be7246e8,5,1,22
56727cb9-0033-4f8f-ab82-c9fb024186e2,2c4419e9-ac35-4e5a-beb2-d82147902608,4,4,23
56727cb9-0033-4f8f-ab82-c9fb024186e2,a4b2fb16-ce98-4559-a7f1-f3f343776201,4,4,24
56727cb9-0033-4f8f-ab82-c9fb024186e2,540d11c6-2dc7-4bb1-b3cf-67a648ad4d5c,5,1,25
56727cb9-0033-4f8f-ab82-c9fb024186e2,34440dbb-f3d1-4d69-91e9-edd26ec1b3de,5,5,26
56727cb9-0033-4f8f-ab82-c9fb024186e2,012e40bd-c8f5-4499-b79f-fd0183758e88,5,1,27
56727cb9-0033-4f8f-ab82-c9fb024186e2,225b7c38-34ee-4879-a4b4-28e07ca25cbc,5,5,28
56727cb9-0033-4f8f-ab82-c9fb024186e2,2298bcfc-9ec6-44ce-914f-285df55c3fdd,2,2,29
56727cb9-0033-4f8f-ab82-c9fb024186e2,a2774a1d-728a-4d66-80c3-d9af11527109,5,1,30
56727cb9-0033-4f8f-ab82-c9fb024186e2,fbbe10c1-8c33-4fb6-9240-46098168d815,5,1,31
56727cb9-0033-4f8f-ab82-c9fb024186e2,2158aca2-34cd-4906-885e-19d3867e8328,4,2,32
56727cb9-0033-4f8f-ab82-c9fb024186e2,1a4e26fb-097c-4d4b-b272-b16d528a16c0,5,5,33
